14.0.6120.5000,April 2012 CU,2012 April 1,Sharepoint Server 2010,Removed
14.0.6117.5002,February 2012 CU,2012 February 1,Sharepoint Server 2010,KB2597132
14.0.6114.5000,December 2011 CU,2011 December 1,Sharepoint Server 2010,KB2596998
14.0.6112.5000,October 2011 CU,2011 October 1,Sharepoint Server 2010,KB2596508
14.0.6109.5002,August 2011 CU,2011 August 1,Sharepoint Server 2010,KB2553048
14.0.6109.5000,August 2011 CU,2011 August 1,Sharepoint Server 2010,KB2553117
14.0.6106.5002,June 2011 CU,2011 June 1,Sharepoint Server 2010,KB2536601
14.0.6105.5000,June 2011 CU,2011 June 1,Sharepoint Server 2010,KB2536601
14.0.6029.1000,April 2011 CU,2011 April 1,Sharepoint Server 2010,KB2460058
14.0.5138.5000,April 2011 CU,2011 April 1,Sharepoint Server 2010,KB2512800
14.0.5136.5002,February 2011 CU,2011 February 1,Sharepoint Server 2010,KB2475878
14.0.5130.5002,December 2010 CU,2010 December 1,Sharepoint Server 2010,KB2459257
14.0.5128.5000,October 2010 CU,2010 October 1,Sharepoint Server 2010,KB2394320
14.0.5123.5000,August 2010 CU,2010 August 1,Sharepoint Server 2010,KB2352342
14.0.5114.5003,June 2010 CU,2010 June 1,Sharepoint Server 2010,KB983497 
